"year","region","pop","pop.lb","pop.ub"
2125,"EE",385.07002613854,384.093256312138,386.107661438393
2125,"CA",1250.86174239942,1247.13504142586,1254.68174617149
2125,"IA",3973.14568526757,3965.59917047565,3981.21129685674
2125,"AF",8220.93111199961,8122.69396524499,8323.51182253799
2125,"LA",1368.00970570207,1361.64672033932,1374.71916004669
2126,"EU",198.015840962831,195.892944738898,200.152716592528
2126,"US",165.519298161225,163.941147166952,167.118320516692
2126,"OT",165.31519526405,164.218661980135,166.4116958588
2126,"EE",385.974124646545,384.923253242735,387.092421318467
2126,"CA",1248.12008175803,1244.12540905212,1252.20854450626
2126,"IA",3980.2591018541,3972.14268391929,3988.94788167341
2126,"AF",8305.70752121748,8199.25047576083,8417.15762608026
2126,"LA",1373.72756059304,1366.87104206286,1380.97110110435
2127,"EU",196.460240870671,194.204279221598,198.728950091588
2127,"US",164.362739324278,162.684147250844,166.061721679547
2127,"OT",164.525521598106,163.356477327811,165.693394704872
2127,"EE",386.873051197277,385.745695023566,388.074831503017
2127,"CA",1245.40999910936,1241.14019491121,1249.77343222713
2127,"IA",3987.32928131429,3978.62488383422,3996.66263503047
2127,"AF",8390.62729605718,8275.60212342665,8511.36039227773
2127,"LA",1379.42152007483,1372.05458213637,1387.2191861942
2128,"EU",194.9305333633,192.539355825129,197.333070445467
2128,"US",163.224462075913,161.443657955746,165.025017622274
2128,"OT",163.74667591386,162.503572230983,164.987363816263
2128,"EE",387.766821226233,386.560631367191,389.054885570912
2128,"CA",1242.73107016614,1238.17916286643,1247.37576787236
2128,"IA",3994.35640796281,3985.04622838552,4004.35555051444
2128,"AF",8475.68353144532,8351.7409968934,8606.11792757553
2128,"LA",1385.09150518432,1377.1974413809,1393.46327237133
2129,"EU",193.426177688758,190.89776281521,195.964410991683
2129,"US",162.104104279779,160.219410628704,164.007752397524
2129,"OT",162.978474566818,161.659822191788,164.293359710643
2129,"EE",388.655450383508,387.368112102623,390.03257723491
2129,"CA",1240.08287744519,1235.24207954455,1245.01492241181
2129,"IA",4001.34066675179,3991.40717489829,4012.02660306685
2129,"AF",8560.86935354529,8427.65935571279,8701.42798996039
2129,"LA",1390.73744049139,1382.29972591594,1399.70321771181
2130,"EU",191.946646686041,189.279096851357,194.622324377986
2130,"US",161.001312460679,159.011141783035,163.009482699097
