"Region","year","value","value.lb","value.ub"
"DNK",2016,5.64596470156457,5.64596470156457,5.64596470156457
"DOM",2016,10.7435162575845,10.7435162575845,10.7435162575845
"DZA",2016,38.8615117240611,38.8615117240611,38.8615117240611
"ECU",2016,15.8222057561559,15.8222057561559,15.8222057561559
"EGY",2016,90.0050512817936,90.0050512817936,90.0050512817936
"ERI",2016,6.19723091693633,6.19723091693633,6.19723091693633
"ESP",2016,47.4368223553371,47.4368223553371,47.4368223553371
"EST",2016,1.32397568355401,1.32397568355401,1.32397568355401
"ETH",2016,95.3756709269704,95.3756709269704,95.3756709269704
"FIN",2016,5.46555904329316,5.46555904329316,5.46555904329316
"FJI",2016,0.903474257838788,0.903474257838788,0.903474257838788
"FRA",2016,66.8464782827383,66.8464782827383,66.8464782827383
"GAB",2016,1.66946566750987,1.66946566750987,1.66946566750987
"GBR",2016,63.9554972380899,63.9554972380899,63.9554972380899
"GEO",2016,4.28153896806831,4.28153896806831,4.28153896806831
"GHA",2016,28.0824717299926,28.0824717299926,28.0824717299926
"GIN",2016,11.2916636286307,11.2916636286307,11.2916636286307
"GMB",2016,2.02682454115878,2.02682454115878,2.02682454115878
"GNB",2016,1.71151594805742,1.71151594805742,1.71151594805742
"GNQ",2016,0.820433835749265,0.820433835749265,0.820433835749265
"GRC",2016,11.3679221256803,11.3679221256803,11.3679221256803
"GTM",2016,16.5990610488818,16.5990610488818,16.5990610488818
"GUY",2016,0.779102871276215,0.779102871276215,0.779102871276215
"HKG",2016,7.36769927984363,7.36769927984363,7.36769927984363
"HND",2016,8.54382207208992,8.54382207208992,8.54382207208992
"HRV",2016,4.36477616761086,4.36477616761086,4.36477616761086
"HTI",2016,10.7992220950018,10.7992220950018,10.7992220950018
"HUN",2016,9.75519212515593,9.75519212515593,9.75519212515593
"IDN",2016,254.614803906952,254.614803906952,254.614803906952
"IND",2016,1334.52026579082,1334.52026579082,1334.52026579082
"IRL",2016,4.768372334139,4.768372334139,4.768372334139
"IRN",2016,79.7267561785667,79.7267561785667,79.7267561785667
"IRQ",2016,37.7076485702709,37.7076485702709,37.7076485702709
"ISL",2016,0.345334346265316,0.345334346265316,0.345334346265316
"ISR",2016,8.35664245400516,8.35664245400516,8.35664245400516
"ITA",2016,60.9269164424337,60.9269164424337,60.9269164424337
"JAM",2016,2.8392762873495,2.8392762873495,2.8392762873495
"JOR",2016,7.23535405185884,7.23535405185884,7.23535405185884
"JPN",2016,125.083456424107,125.083456424107,125.083456424107
"KAZ",2016,17.0607170374128,17.0607170374128,17.0607170374128
"KEN",2016,47.437838779536,47.437838779536,47.437838779536
"KGZ",2016,5.7199932092823,5.7199932092823,5.7199932092823
"KHM",2016,15.1552983118989,15.1552983118989,15.1552983118989
"KOR",2016,48.7767559464429,48.7767559464429,48.7767559464429
"KWT",2016,3.21681552411241,3.21681552411241,3.21681552411241
"LAO",2016,6.78660806463361,6.78660806463361,6.78660806463361
"LBN",2016,4.44058702215897,4.44058702215897,4.44058702215897
